(0, 10, 10)
(1, 10, 10)
(0, 10, 9)
(2, 10, 10)
(0, 9, 9)
(0, 9, 10)
(1, 9, 9)
(2, 10, 9)
(1, 9, 10)
(3, 10, 10)
(1, 10, 9)
(0, 9, 8)
(1, 8, 10)
(3, 10, 9)
(4, 10, 10)
(4, 10, 9)
(1, 7, 10)
(0, 10, 8)
(2, 8, 10)
(0, 8, 10)
(1, 8, 9)
(2, 9, 10)
(0, 10, 7)
(1, 6, 10)
(0, 7, 10)
(0, 8, 9)
(2, 10, 8)
(1, 10, 7)
(5, 10, 10)
(0, 10, 6)
(0, 10, 5)
(2, 9, 9)
(2, 9, 8)
(0, 6, 10)
(1, 10, 8)
(0, 7, 9)
(1, 5, 10)
(2, 8, 9)
(0, 9, 7)
(0, 7, 8)
(3, 9, 10)
(3, 8, 9)
(2, 7, 10)
(0, 5, 10)
(0, 10, 4)
