(9, 2, 2)
(9, 2, 1)
(9, 3, 1)
(8, 2, 1)
(9, 1, 1)
(8, 2, 2)
(10, 1, 1)
(9, 1, 0)
(8, 1, 1)
(10, 0, 1)
(9, 1, 2)
(8, 1, 2)
(9, 3, 0)
(9, 0, 0)
(8, 3, 0)
(10, 0, 0)
(10, 1, 0)
(9, 0, 1)
(10, 2, 2)
(9, 2, 0)
(9, 1, 3)
(9, 4, 1)
(10, 3, 1)
(8, 1, 0)
(10, 3, 2)
(9, 2, 3)
(10, 2, 3)
(8, 1, 3)
(8, 0, 2)
(8, 2, 0)
(7, 1, 3)
(10, 2, 0)
(8, 3, 1)
(8, 0, 1)
(7, 2, 2)
(10, 3, 0)
(10, 3, 3)
(7, 1, 2)
(10, 2, 1)
(10, 0, 2)
(8, 2, 3)
(7, 0, 2)
(9, 0, 2)
(10, 1, 3)
(10, 1, 2)
(7, 3, 0)
(10, 3, 4)
(10, 4, 0)
